Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Component/s,Component/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Bug of),Outward issue link (Cloners),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Mention),Outward issue link (Parent-Child),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Resolved Bugs/Defect),Outward issue link (Workaround),Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (% Closed),Custom field (AE Name),Custom field (Acceptance Criteria),Custom field (Actions),Custom field (Actual Delivery Date),Custom field (Actual Start Date),Custom field (Agile Product Owner),Custom field (Agile QA Owner),Custom field (Aha! Reference),Custom field (Assigned Date),Custom field (Browsers),Custom field (Browsers),Custom field (Bug Triaged),Custom field (Campaign Overview),Custom field (Capitalizable),Custom field (Cart Click Thru URL),Custom field (Cart number),Custom field (Client Name),Custom field (Code Review Time),Custom field (CodeReview Owner),Custom field (Commercial Required?),Custom field (Conclusion),Custom field (Conclusion),Custom field (Content Schedule),Custom field (Copy),Custom field (Core message and specific copy:),Custom field (Creative Deliverables),Custom field (Deal Team),Custom field (Defect Found),Custom field (Design Due Date:),Custom field (Desktop CPM),Custom field (Desktop Click Thru URL),Custom field (Desktop impression goal),Custom field (Dev Hrs. Actual),Custom field (Dev Hrs. Estimate),Custom field (Dev Owner),Custom field (Device),Custom field (Display Description),Custom field (Display Name),Custom field (Due Date w/time),Custom field (End Date),Custom field (End Date w/time),Custom field (Environment Tested),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Revenue),Custom field (Flagged),Custom field (Flight End Date),Custom field (Flight Start Date),Custom field (Go Live),Custom field (Homepage takeover date),Custom field (If Commercial Required),"Custom field (If For Print, Color or Black/White?)",Custom field (If Logo Requested),Custom field (If Sponsored),Custom field (If sweepers/liners required),Custom field (Impact Statement),Custom field (Impacted Items),Custom field (Is this for Print or Web?),Custom field (Live Date),Custom field (Local or National),Custom field (Logo Requested),Custom field (Market),Custom field (Mobile CPM),Custom field (Mobile Click Thru URL),Custom field (Mobile impression goal),Custom field (Notes),Custom field (OLDCapitalizedOLD),Custom field (OS),Custom field (OSes),Custom field (OSes),Custom field (Official Contest Rules),Custom field (Owner),Custom field (PA#),Custom field (Page created?),Custom field (Preroll CPM),Custom field (Preroll Click Thru URL),Custom field (Preroll impression goal),Custom field (Primary Genre),Custom field (Primary Keyword),Custom field (Project Notes),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Release Date),Custom field (Requested Delivery Date),Custom field (Requested Placement - Specify),Custom field (Review Notes),Custom field (Risk Level),Custom field (Secondary Genre),Custom field (Send to Print Date:),Custom field (Severity Level),Custom field (Specific PMS colors to use?),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Start Date),Custom field (Start Date w/time),Custom field (Station Sponsored?),Custom field (Station Type),Custom field (Station(s) - Specify),Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (Sweepers/Liners Required?),Custom field (Temporary or Permanent),Custom field (TestEng Hrs. Actual),Custom field (TestEng Hrs. Estimate),Custom field (TestEng Owner),Custom field (TestEng Required),Custom field (Testing Notes),Custom field (Testing Points),Custom field (Timeframe),Custom field (URL),Custom field (UXD Sizing),Custom field (Web Bug Prevention strategy),Custom field (What are the dimensions?),Custom field (What is the goal of this piece?),Custom field (What is the tone?),Custom field (What was changed?),Custom field (Who is the audience?),Custom field (git pull request url),Custom field (git sha1),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Uploading Assets within the Content Tool,AR-81,94244,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,1110204,1110204,10/Feb/15 11:14 AM,12/Jan/17 3:41 PM,03/May/19 9:54 AM,06/Jul/15 4:29 PM,,,Content Tool,,,,,,0,,I'm a National Editor and I want to upload a Photo from within the content tool as I'm writing an article,,1110204,tdrapeau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"User can access Assets from within the content tool
User can upload assets (single or bulk) from within the content tool
User can enter metadata for uploaded asset from within the content tool
User can search for asset and insert into content.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzq1d3:,9223372036854775807,,,,,,,,Severity 4:  Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/Jul/15 4:29 PM;1110204;ticket no longer relevant,,,,,,,,,
Publishing to multiple locations,AR-80,94243,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,1110204,1110204,10/Feb/15 11:13 AM,22/Apr/15 4:42 PM,03/May/19 9:54 AM,20/Apr/15 2:43 PM,,,,,,,,,0,,"I’m creating an article that I want to publish on my blog and the KTU homepage. Since I am permissioned for the publishing tags for both sites (my blog site & KTU) I apply these tags to my article, which allows me to post to both sites.",,1110204,tdrapeau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"User can attach multiple publishing tags, for which they are permissioned, to content in the content tool.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzivif:,9223372036854775807,,,,,,,,Severity 4:  Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publishing Content,AR-79,94242,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,1110204,1110204,10/Feb/15 11:12 AM,07/Apr/15 4:44 PM,03/May/19 9:54 AM,07/Apr/15 4:44 PM,,,,,,,,,0,,I'm a National Editor and I want to Publish content,,1110204,tdrapeau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"User can attach publishing tags, for which they are permissioned, to content in the content tool.
Users can publish in one click once publishing tags are attached",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzp5b3:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _04_D,,,,,,,,,,,,3.0,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,
Editing Content Text,AR-78,94241,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,1110204,1110204,10/Feb/15 11:11 AM,22/Apr/15 4:42 PM,03/May/19 9:54 AM,20/Apr/15 5:11 PM,,,,,,,,,0,,I'm a National Editor and I want to edit the Text of my Article,,1110204,tdrapeau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Undo Changes 
Redo Changes
Cut Text
Copy Text
Paste Text
Select All Text
Find & Replace Text",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzivgv:,9223372036854775807,,,,,,,,Severity 4:  Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Formatting Text,AR-77,94240,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,1110204,1110204,10/Feb/15 11:10 AM,01/May/15 9:55 AM,03/May/19 9:54 AM,01/May/15 9:55 AM,,,,,,,,,0,,I'm a National Editor and I want to format the Text of my Article,,1110204,tdrapeau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"User can add header markup to text, H2-H6
User can Bold selected text
User can Italic selected text
User can Strikethrough selected text
User can Clear Formatting of selected text
User can change the Text Alignment of selected text
User can add Bullets
User can add a Numbered List
User can Increase/Decrease Indent
User can Insert/Edit Link ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzivgf:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _06_ FERRETCANNON,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,"30/Apr/15 9:50 AM;1110204;Looks like this is missing some functionality:
-Header markup includes H1 and is missing H3-6. Remove H1, keep H2 and add 3-6
-Missing Underline
-Missing Superscript & Subscript
","30/Apr/15 10:23 AM;1110204;conceding super/subscript - no known use cases.
will revisit underline (as css styling) pending SEO discussion.",,,,,,,,
Creating Photo Galleries,AR-76,94239,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,1110204,1110204,10/Feb/15 11:10 AM,21/Apr/15 3:32 PM,03/May/19 9:54 AM,21/Apr/15 3:32 PM,,,,,,,,,0,,I'm a National Editor and I want to create a Photo gallery from photos stored in the Assets tool.,,1110204,tdrapeau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"User can search for and select multiple photos via assets search within the content tool.
Users can drag and drop the selected photos to order the sequence of the gallery
Photo captions stored on each photo in Assets are visible for each photo
Users can update the caption for each photo
Updated captions do not overwrite the original caption stored in assets.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzbqzz:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _05_E,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publishing a single Asset,AR-75,94238,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,1110204,1110204,10/Feb/15 11:08 AM,22/Apr/15 4:42 PM,03/May/19 9:54 AM,07/Apr/15 10:23 AM,,,,,,,,,0,,I'm a National Editor and I want to publish a single Photo,,1110204,tdrapeau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Allow users to select a asset from from within the content tool
Allow user to replace the default caption/description for the selected asset, but not overwrite asset metadata
Allow single asset to be published via publishing tags
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzivi7:,9223372036854775807,,,,,,,,Severity 4:  Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inserting an Asset in Content,AR-74,94237,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,1110204,1110204,10/Feb/15 11:06 AM,07/Apr/15 10:21 AM,03/May/19 9:54 AM,07/Apr/15 10:21 AM,,,,,,,,,0,,I'm a National Editor and I want to add a Photo to my Article,,1110204,tdrapeau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"User can select the Asset to be inserted in the content
User can select the location where the asset is to be inserted
User can select the display size of the asset
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzivhr:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _05_E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Article Body,AR-73,94233,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,1110204,1110204,10/Feb/15 11:01 AM,07/Apr/15 1:01 PM,03/May/19 9:54 AM,07/Apr/15 1:01 PM,,,,,,,,,0,,I'm a National Editor and I want to add a Article Body to my Article,,1110204,tdrapeau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Allow user to enter a body for their Article
Allow for unlimited characters and embeds
The Article Body should be displayed below the Summary when viewing content on a site
The Article body should allow for text formatting via the text editor tools
The Article body should not render any html/css pasted by users",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzbref:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _04_D,,,,,,,,,,,,2.0,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,
Content Summary,AR-72,94232,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,1110204,1110204,10/Feb/15 11:00 AM,06/Apr/15 4:23 PM,03/May/19 9:54 AM,06/Apr/15 4:23 PM,,,,,,,,,0,,I'm a National Editor and I want to add a Summary to my content,,1110204,tdrapeau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Allow user to enter a Summary for their content
Show and enforce a limit of 120 characters.
The Summary should be displayed below the content title when viewing content on a site",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzbre7:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _04_D,,,,,,,,,,,,3.0,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,
Content Title,AR-71,94231,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,1110204,1110204,10/Feb/15 10:59 AM,06/Apr/15 4:22 PM,03/May/19 9:54 AM,06/Apr/15 4:22 PM,,,,,,,,,0,,I'm a National Editor and I want to add a Title to my content,,1110204,tdrapeau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Allow user to enter a title for their content
Show a character count that guides users in creating a title of 50 characters or less. Do not enforce a 50 character limit (SEO Request)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzbrdz:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _04_D,,,,,,,,,,,,3.0,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,
Search Result Sort,AR-70,94230,,Story,Completed,AR,Agile Radioedit,software,howella,,,P1 - Critical,Completed,,1110204,1110204,10/Feb/15 10:53 AM,15/Sep/15 5:19 PM,03/May/19 9:54 AM,15/Sep/15 5:19 PM,,,,,,,,,0,,I'm a National Editor and I want to sort my search results by column header,,1110204,tdrapeau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Allow user to sort search results by the values in any available column header in ascending or descending order.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hziv0v:,9223372036854775807,,,,,,,,Severity 4:  Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assets: Search Filter,AR-69,94229,,Story,Completed,AR,Agile Radioedit,software,howella,,,P1 - Critical,,,1110204,1110204,10/Feb/15 10:52 AM,12/Mar/15 12:33 PM,03/May/19 9:54 AM,,,,,,,,,,0,,I'm a National Editor and I want to Filter my search results to find the appropriate assets,,1110204,tdrapeau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Allow user to filter search by Title
Allow user to filter search by Keyword Tags
Allow user to filter search by Subject Tag
Allow user to filter search by Creator (user)
Allow user to filter search by Vendor
Allow user to filter search by Media Type
Allow user to filter for asset by File type
Allow user to filter search by Upload Date",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzopgf:,9223372036854775807,,,,,,,,Severity 4:  Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13/Feb/15 2:05 PM;1110204;License window filter didn't make this sprint. dependent on license window concept, introduced in another ticket",,,,,,,,,
Search,AR-68,94228,,Story,Completed,AR,Agile Radioedit,software,howella,,,P1 - Critical,Completed,,1110204,1110204,10/Feb/15 10:52 AM,24/Mar/15 5:21 PM,03/May/19 9:54 AM,24/Mar/15 5:21 PM,,,,,,,,,0,,I'm a National Editor writing a story on Taylor Swift. I need to search for assets relevant to my article.,,1110204,con-ccrnyc1dot,tdrapeau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Allow user to search & filter for asset by Title
Allow user to search & filter for asset by Tags
Allow user to search & filter for asset by Creator (user)
Allow user to search & filter for asset by Media type
Allow user to search & filter for asset by File type
Allow user to search & filter for assets by upload date",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzoi6v:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _01_A,RadioEdit _03_C,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,"20/Feb/15 11:56 AM;con-ccrnyc1dot;There are couple of search criteria need more dev work (e.g. media type, File type, creator, etc)",,,,,,,,,
Export,AR-67,94227,,Story,Completed,AR,Agile Radioedit,software,howella,,,P1 - Critical,Completed,,1110204,1110204,10/Feb/15 10:51 AM,24/Mar/15 5:17 PM,03/May/19 9:54 AM,24/Mar/15 5:17 PM,,,,,,,,,0,,I'm a National Editor who wants to export an asset from the assets tool for use in a promotional print campaign. ,,1110204,tdrapeau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Allow user to search and find asset
Allow user to select and export an exact copy of the asset
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzoi7z:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _03_C,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulk Upload,AR-66,94226,,Story,Completed,AR,Agile Radioedit,software,howella,,,P1 - Critical,Completed,,1110204,1110204,10/Feb/15 10:50 AM,24/Mar/15 5:21 PM,03/May/19 9:54 AM,24/Mar/15 5:21 PM,,,,,,,,,0,,I'm a National Editor who wants to upload multiple assets at once into the assets tool,,1110204,tdrapeau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Allow for upload of multiple assets from a designated folder
Allow for upload of 100 assets (more if technically feasible)
Allow user to enter metadata for each asset in batch
Allow for user to designate one set of metadata values across all assets in batch
All assets are saved in the assets tool.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzoi73:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _03_C,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Photo Alt Image Text for SEO,AR-65,94225,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,1110204,1110204,10/Feb/15 10:46 AM,07/Apr/15 2:25 PM,03/May/19 9:54 AM,07/Apr/15 2:25 PM,,,,,,,,,0,,"As a National Photo editor, I want to Add/Update the Alt Image Text for an image so that this is available for SEO",,1110204,tdrapeau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Default ALT Image text to what is entered in Caption/Description field
User can overwrite Alt Image Text to a custom description
Alt Image Text is saved to or updated on photos when saved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzbrdr:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _04_D,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attaching a Poster to Audio and Video Files,AR-64,94224,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,1110204,1110204,10/Feb/15 10:45 AM,01/Apr/15 3:04 PM,03/May/19 9:54 AM,01/Apr/15 3:04 PM,,,,,,,,,0,,"As a National Editor, I want to attach a Poster to a video or audio asset that is visible in a player
",,1110204,howella,tdrapeau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Video and Audio assets allow user to add a specific Poster image
Allow Thumbnail to be used as Poster Image",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzbrd3:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _03_C,RadioEdit _04_D,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,11/Mar/15 3:16 PM;howella;relies on Thumbnail ticket,,,,,,,,,
Attaching a Thumbnail to Audio and Video Files,AR-63,94223,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,1110204,1110204,10/Feb/15 10:43 AM,01/Apr/15 3:04 PM,03/May/19 9:54 AM,01/Apr/15 3:04 PM,,,,,,,,,0,,"As a National Editor, I want to attach a Thumbnail to my Audio or Video Asset  as a preview of that asset.",,1110204,tdrapeau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Audio and Video assets allow user to add a specific thumbnail image
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzbrcv:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _03_C,RadioEdit _04_D,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Editing Metadata for multiple assets,AR-62,94221,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,1110204,1110204,10/Feb/15 10:31 AM,24/Mar/15 5:04 PM,03/May/19 9:54 AM,24/Mar/15 5:04 PM,,,,,,,,,0,,"As a National Editor, I want to edit Metadata for multiple assets who share similar details.",,1110204,tdrapeau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Select multiple assets 
Edit any metadata for all selected assets
Metadata is replaced with new metadata on all selected assets
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzoi7b:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _03_C,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source Credit,AR-61,94220,,Story,Completed,AR,Agile Radioedit,software,howella,,,P1 - Critical,Completed,,1110204,1110204,10/Feb/15 10:29 AM,24/Mar/15 5:04 PM,03/May/19 9:54 AM,24/Mar/15 5:04 PM,,,,,,,,,0,,"As a National Editor, I want to add a credit for the photographer who created a photo",,1110204,tdrapeau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Assets allow for source credit to be added and displayed on assets
Source Credit should default to uploading user unless changed by user
Append ""(uploader)"" to the end of the user name. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzoi7j:,9223372036854775807,,,,,,,,Severity 4:  Low,,RadioEdit _03_C,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assets: Vendor Details,AR-60,94216,,Story,Completed,AR,Agile Radioedit,software,howella,,,P1 - Critical,Completed,,1110204,1110204,10/Feb/15 10:16 AM,06/Jul/15 4:29 PM,03/May/19 9:54 AM,06/Jul/15 4:28 PM,,,,,,,,,0,,"As a National Editor, I want to attach a Vendor to an asset so that its source can be tracked",,1110204,tdrapeau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"User can pick a vendor, from a managed list of 10-15 iHM partners, to be added and displayed on assets
Vendor choice inserts license window information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzq1c7:,9223372036854775807,,,,,,,,Severity 4:  Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/Jul/15 4:29 PM;1110204;no longer relevant,,,,,,,,,
Assets: License Metadata,AR-59,94215,,Story,Completed,AR,Agile Radioedit,software,howella,,,Px - Unprioritized,Completed,,1110204,1110204,10/Feb/15 10:15 AM,06/Jul/15 4:29 PM,03/May/19 9:54 AM,06/Jul/15 4:29 PM,,,,,,,,,0,,"As a National Editor, I want to review the license information for assets for reporting purposes",,1110204,tdrapeau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Assets allow for License Window Start and End dates to be added to assets
License Window information is populated when selecting a vendor
Assets allow for copyright owner to be added -Copyright owner should default to iHeartMedia unless changed by user
Assets allow for a contract reference
Assets allow for multiple License Windows
Display name of user and timestamp who last updated license metadata",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR-328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzq1cf:,9223372036854775807,,,,,,,,Severity 4:  Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/Jul/15 4:29 PM;1110204;no longer relevant,,,,,,,,,
